isla;ubicacion;cuenta
Lanzarote;La Costa;5
Lanzarote;Tinguatón;45
Tenerife;Los Menores;5
Tenerife;San Juan de la Rambla;887
Lanzarote;La Asomada;123
La Palma;Las Indias;65
Tenerife;Los Llanos;30
La Palma;Puntallana;245
Tenerife;Ifonche;5
Tenerife;Masca;15
Tenerife;Alcalá;798
Tenerife;Puertito de Güímar;80
Tenerife;La Sabinita;10
Tenerife;Guaza;80
Gran Canaria;Sonnenland;45
Tenerife;Costa Adeje;20
Fuerteventura;Giniginámar;20
Gran Canaria;Arinaga;586
Fuerteventura;Cardón;160
Tenerife;Vera de Erque;89
La Palma;La Galga;45
El Hierro;Las Casas;120
Gran Canaria;Agaete;599
Lanzarote;Puerto Calero;335
Lanzarote;Mala;10
Tenerife;Montañeta;60
Gran Canaria;Cruce de Arinaga;80
Gran Canaria;Las Marciegas;5
Tenerife;Fasnia;255
Tenerife;Los Baldíos;5
La Gomera;Alojera;75
La Palma;El Pueblo;5
Fuerteventura;Lajares;695
La Palma;Los Llanos de Aridane;430
Gran Canaria;Playa del Cura;100
Tenerife;Los Realejos;759
Gran Canaria;Arucas;145
El Hierro;El Pinar de El Hierro;275
Lanzarote;Argana;5
Tenerife;Arico el Nuevo;25
El Hierro;Erese;110
El Hierro;Timijiraque;255
Gran Canaria;Las Casillas;44
La Palma;Las Manchas;50
Fuerteventura;La Lajita;360
Tenerife;San Isidro;304
Tenerife;La Corujera;10
Tenerife;Candelaria;821
El Hierro;Sabinosa;264
Tenerife;Las Galletas;180
La Gomera;Valle Gran Rey;214
Gran Canaria;San Bartolomé;1226
El Hierro;Pozo de las Calcosas;105
Tenerife;El Bailadero;70
Gran Canaria;Pasito Blanco;125
Tenerife;Santa Úrsula;255
Tenerife;Cabo Blanco;70
Tenerife;El Rosario;59
El Hierro;Los Llanillos;109
Tenerife;El Socorro;5
La Palma;El Paso;449
La Palma;Los Quemados;5
La Palma;Lomo Oscuro;30
La Palma;Lodero;45
Lanzarote;Playa Blanca;1617
Gran Canaria;Puerto de Mogán;438
Tenerife;Tamaimo;10
Gran Canaria;La Garita;79
El Hierro;Taibique;115
Tenerife;San Miguel;20
Tenerife;La Orotava;529
Fuerteventura;Valles de Ortega;115
Tenerife;Los Silos;1083
Tenerife;La Degollada;35
Tenerife;Cuevas del Palmar;70
Gran Canaria;Cabo Verde;70
La Palma;Puerto;5
Lanzarote;Yaiza;215
Tenerife;Abades;235
Tenerife;Buenavista del Norte;585
Gran Canaria;Melenara;40
La Gomera;San Sebastián de la Gomera;798
La Palma;San Andres y Sauces;70
Gran Canaria;Agüimes;415
Gran Canaria;El Cortijo;90
Gran Canaria;Playa del Águila;95
Gran Canaria;El Tablero;65
La Palma;Breña;20
Lanzarote;La Santa;190
Lanzarote;Uga;75
Gran Canaria;Artenara;125
Lanzarote;Caleta de Caballo;80
Fuerteventura;Vega de Río de Palmas;80
La Palma;Garafía;100
Lanzarote;Tinajo;131
Tenerife;Los Cristianos;1059
Fuerteventura;Costa de Antigua;609
Gran Canaria;Santa María de Guía de Gran Canaria;174
Tenerife;San Jose De Los Llanos;30
Fuerteventura;Morro del Jable;1545
Tenerife;Arona;1187
Tenerife;Los Campitos;5
Lanzarote;El Islote;5
Tenerife;Punta del Hidalgo;253
Tenerife;La Mareta;218
Gran Canaria;Las Rehoyas;24
